smokers_me_3_rrmse_3_11_7_13, smokers_f_me_3_rrmse_3_11_7_13, obese_f_me_3_rrmse_3_11_7_13, area_code, ovrwght_f_me_3_rrmse_3_11_7_13, obese_m_me_3_rrmse_3_11_7_13, smokers_f_me_2_rate_3_11_7_13, alcohol_cons_2_rate_3_11_7_13, obese_f_me_1_no_3_11_7_13, ovrwght_p_me_3_rrmse_3_11_7_13, obese_m_me_2_rate_3_11_7_13, smokers_me_2_rate_3_11_7_13, ovrwght_m_me_3_rrmse_3_11_7_13, ovrwght_p_me_2_rate_3_11_7_13, alcohol_cons_3_rrmse_3_11_7_13, area_name, smokers_m_me_3_rrmse_3_11_7_13, ovrwght_f_me_2_rate_3_11_7_13, smokers_m_me_2_rate_3_11_7_13, obese_p_me_2_rate_3_11_7_13, obese_p_me_3_rrmse_3_11_7_13, ovrwght_m_me_2_rate_3_11_7_13
3.0,3.0,3.0,24780,3.0,3.0,21.4751107606387,3.33525162955995,5180.4830421,3.0,26.3451976536962,25.1066592635855,3.0,34.7203978799846,3.0,"Mildura (RC)",3.0,27.9530845452699,28.8695991166729,29.6526810273065,3.0,41.3977699618658
3.0,3.0,3.0,22310,3.0,3.0,11.1210854594812,2.63844868711402,8266.4562014,3.0,21.7760420090113,13.0756494204626,3.0,35.6173877743171,3.0,"Glen Eira (C)",3.0,26.9532930634475,15.0975219353184,20.6204400375776,3.0,44.2032925943961
3.0,3.0,3.0,24850,3.0,3.0,20.4345079603978,3.26563094022188,3700.23523280293,3.0,27.3641543723047,22.9533119046978,3.0,35.4783915706099,3.0,"Mitchell (S)",3.0,27.6418111091351,25.4825455862403,31.2854869834838,3.0,42.8986347944375
3.0,3.0,3.0,24900,3.0,3.0,21.3773659539951,3.37738424821213,3508.9532969,3.0,27.296686613825,24.9764895291772,3.0,35.9012748524436,3.0,"Moira (S)",3.0,28.1741913815882,28.5408382025834,33.1877203375082,3.0,43.0559285699195
3.0,3.0,3.0,24970,3.0,3.0,10.6769806001649,2.6279261315216,11331.8154665,3.0,23.6028410815171,13.4190444120185,3.0,35.3228129336115,3.0,"Monash (C)",3.0,25.8875996791876,16.163734374887,21.9148710534248,3.0,44.2941909522695
3.0,3.0,3.0,25060,3.0,3.0,13.0366382998203,2.79954580299925,8223.32702711756,3.0,24.1439677452886,15.1240733977359,3.0,35.5229460238446,3.0,"Moonee Valley (C)",3.0,27.7542676518301,17.3198734817909,23.4782556004537,3.0,43.3682960378109
3.0,3.0,3.0,25150,3.0,3.0,17.9946903628443,3.29248529093554,3117.67973122183,3.0,26.0724479667779,20.8590669517503,3.0,36.3775406432478,3.0,"Moorabool (S)",3.0,27.4099863484815,23.8046691397655,30.7659818457643,3.0,45.1516384343399
3.0,3.0,3.0,25250,3.0,3.0,13.7551088148618,2.98545506020697,12453.7898472732,3.0,24.1901755115891,17.0880327496468,3.0,34.7207906567634,3.0,"Moreland (C)",3.0,27.3739277553723,20.4669757897236,25.196271784496,3.0,41.8142751247943
3.0,3.0,3.0,25340,3.0,3.0,18.9650109607594,3.12269895600577,14802.2008418,3.0,25.5814702386165,20.6860106126583,3.0,36.1001833922194,3.0,"Mornington Peninsula (S)",3.0,27.825594482828,22.5437644437971,27.7276947710677,3.0,44.5662798809393
3.0,3.0,3.0,25430,3.0,3.0,18.1580019240703,3.13142728584656,1558.94513061595,3.0,25.5266501488686,20.8762644805039,3.0,34.9235343358759,3.0,"Mount Alexander (S)",3.0,27.3703161520918,23.6775943330338,25.7893191860026,3.0,42.1781340199948
3.0,3.0,3.0,25490,3.0,3.0,18.1177907846704,3.19960670030034,1384.90482108623,3.0,26.5626151510299,21.1265965976593,3.0,37.7169213449469,1.0,"Moyne (S)",3.0,27.8730512826206,24.0835597644885,27.6711756780756,3.0,46.8832905021045
3.0,3.0,3.0,25620,3.0,3.0,19.8820310062807,3.26878965973225,1271.80628212783,3.0,26.9300764681939,22.5601018410184,3.0,35.7888222199654,3.0,"Murrindindi (S)",3.0,27.4350437182668,25.231603428217,28.6203996052044,3.0,43.5377536094832
3.0,3.0,3.0,25710,3.0,3.0,12.9811030991068,2.66841074481248,4933.36649914603,3.0,23.7594268459912,14.6050336207205,3.0,36.2674158750034,3.0,"Nillumbik (S)",3.0,27.4583701211349,16.3042138148148,24.5679131239025,3.0,44.9927322422319
3.0,3.0,3.0,25810,3.0,3.0,23.9040908656346,3.59632817338334,1345.9591644582,3.0,26.2106167725533,25.8483417836739,3.0,34.3306392819618,1.0,"Northern Grampians (S)",3.0,27.0866916572733,27.7647948950258,30.8767773394241,3.0,41.0363485884105
3.0,3.0,3.0,25900,3.0,3.0,13.6409559065132,2.9905777565689,4524.69876334795,3.0,17.0118987641617,14.8260164411011,3.0,33.9435213229967,3.0,"Port Phillip (C)",3.0,26.0255103179323,16.0610849212217,15.7521543813143,3.0,41.6705940125567
3.0,3.0,3.0,25990,3.0,3.0,22.3786912420595,3.44948430455493,707.547614693652,3.0,26.679175654039,25.7943398080898,3.0,35.7097664173234,1.0,"Pyrenees (S)",3.0,27.6275130438337,29.0721869581074,29.2538403804803,3.0,42.8257976179466
3.0,3.0,3.0,26080,3.0,1.0,15.2887628217551,2.81341261139304,296.852398942893,3.0,24.0848533504823,17.0160666698552,1.0,36.880750105129,2.0,"Queenscliffe (B)",3.0,27.578435528285,18.8733237786379,26.7611561221641,3.0,46.4215743993603
3.0,3.0,3.0,26170,3.0,3.0,19.2574145989731,3.23082516079612,2656.92517326856,3.0,27.9023474305883,22.1298928000701,3.0,36.3903523913628,3.0,"South Gippsland (S)",3.0,28.1217731599385,25.0013331949538,28.9515343517021,3.0,44.2421290481992
3.0,3.0,3.0,26260,3.0,3.0,19.6871278493231,3.20382526055365,1475.11818426941,3.0,26.2039710329659,22.0793086308708,3.0,37.5960352801849,3.0,"Southern Grampians (S)",3.0,27.9571695083109,24.5159249605472,27.3019172723585,3.0,47.0194817614699
3.0,3.0,3.0,26350,3.0,3.0,12.670189298881,2.75300200922515,4152.3047741,3.0,17.4858209906259,12.9340435836956,3.0,34.3558531399167,3.0,"Stonnington (C)",3.0,26.8508490758745,13.2111477553718,15.2232201483836,3.0,41.8108128770953
3.0,3.0,3.0,26430,3.0,3.0,20.6732954722618,3.31419789487802,880.867014324295,3.0,26.713965033683,23.3178891331963,3.0,36.1739824809827,1.0,"Strathbogie (S)",3.0,27.8318103655482,25.9157234451361,27.1099580018532,3.0,43.7927178910355
3.0,3.0,3.0,26490,3.0,3.0,15.1900878630514,2.87861477611628,1977.99448807317,3.0,24.8273755395587,17.1831039645216,3.0,36.2705545756437,3.0,"Surf Coast (S)",3.0,27.2579889647433,19.2216400698201,24.5926136006121,3.0,44.995016070162
3.0,3.0,3.0,26610,3.0,3.0,20.4200126883367,3.37305379068561,2096.72635731571,3.0,27.357791327571,24.4734171495326,3.0,35.6906150626301,3.0,"Swan Hill (RC)",3.0,28.078743510469,28.3732833000319,30.7435501217107,3.0,42.5597997953363
3.0,3.0,3.0,26670,3.0,3.0,19.1860786785009,3.20842821241437,669.103628234202,3.0,25.5036146452542,21.5959420070627,3.0,37.951627906576,1.0,"Towong (S)",3.0,28.7831431471969,23.9999851628917,30.0462729410026,3.0,46.5958983643113
3.0,3.0,3.0,26700,3.0,3.0,20.3519440433695,3.19972728272988,2968.43941876757,3.0,27.840949528212,22.9169821832612,3.0,35.4415304091947,3.0,"Wangaratta (RC)",3.0,27.6742221408362,25.5634409491085,30.916289702325,3.0,43.0855187659472
3.0,3.0,3.0,26730,3.0,3.0,19.5151836096642,3.31866097861446,3221.88183672759,3.0,26.6928695861142,21.7548162331452,3.0,36.3643862716705,3.0,"Warrnambool (C)",3.0,27.8912750713405,24.0912912811807,29.5027586800331,3.0,44.8725125292043
3.0,3.0,3.0,26810,3.0,3.0,20.1905094479713,3.22598092777708,4587.33101451511,3.0,26.9906186436197,22.6949363634676,3.0,35.3374348842175,3.0,"Wellington (S)",3.0,28.0500002278081,25.2197477587544,31.1638847865531,3.0,42.1977859600123
3.0,3.0,3.0,26890,3.0,3.0,21.3279283444116,3.53634841810923,470.947312242505,3.0,28.4476420431663,24.3054430373688,3.0,35.7999655844561,1.0,"West Wimmera (S)",3.0,28.1133913304478,27.1493168487374,31.5592307263424,3.0,42.7639354956588
3.0,3.0,3.0,26980,3.0,3.0,11.2219841498104,2.64104702175676,10227.0665763759,3.0,23.0549896705678,13.1252255520291,3.0,35.8145191282091,3.0,"Whitehorse (C)",3.0,26.3394299435843,15.1351735151288,21.6080844518178,3.0,45.4483396116112
3.0,3.0,3.0,27070,3.0,3.0,15.5124355938986,2.90862313404877,16070.1447974665,3.0,25.5821209186154,19.0838712623605,3.0,35.2016701760548,3.0,"Whittlesea (C)",3.0,27.3230654505306,22.7788920049735,29.5748674463285,3.0,42.9087153919235
3.0,3.0,3.0,27170,3.0,3.0,22.867355235581,3.2272445998859,3958.7540384,3.0,27.7659059275578,23.4328735003599,3.0,35.5768524718318,3.0,"Wodonga (RC)",3.0,28.4282632896585,24.0331895808846,32.7448839766792,3.0,42.6441579962573
3.0,3.0,3.0,27260,3.0,3.0,15.4882117412616,2.9473481652031,12703.0210328976,3.0,25.5402144276244,18.3814006574204,3.0,35.7135323316047,3.0,"Wyndham (C)",3.0,26.8049460210812,21.362415824511,26.5253001472864,3.0,44.3726226960099
3.0,3.0,3.0,27350,3.0,3.0,13.0952891618201,2.99379058529044,3484.7091543192,3.0,16.9852105495788,14.3448586217103,3.0,33.1909137873984,3.0,"Yarra (C)",3.0,26.0837179888626,15.6473971703196,15.4656874417311,3.0,40.2843420144062
3.0,3.0,3.0,27450,3.0,3.0,17.5422174968745,3.02429806614801,13084.0181203171,3.0,26.4060251059838,19.8116335203205,3.0,36.0954333043669,3.0,"Yarra Ranges (S)",3.0,27.6090494762621,22.1585520803922,27.3121840807789,3.0,44.4017810693732
3.0,3.0,3.0,27630,3.0,3.0,21.3247077029083,3.53593356871739,785.165684100762,3.0,28.4391542540949,24.3001607437619,3.0,35.798495283484,1.0,"Yarriambiack (S)",3.0,28.1096289615571,27.1418783397812,31.5485021204367,3.0,42.7640599510366
3.0,1.0,1.0,29399,1.0,1.0,19.475212689736,3.3175148251367,69.9202212224242,1.0,24.7103972417775,21.8206516749712,1.0,37.8088949673325,2.0,"Unincorporated Vic",1.0,28.6603335500537,24.0495853794268,27.0205762427617,1.0,46.0574270671045
