copd_me_3_rrmse_3_11_7_13, mntl_bh_p_me_2_rate_3_11_7_13, circ_me_3_rrmse_3_11_7_13, mntl_bh_p_me_3_rrmse_3_11_7_13, respirtry_me_3_rrmse_3_11_7_13, asthma_me_3_rrmse_3_11_7_13, area_code, mntl_bh_m_me_2_rate_3_11_7_13, hypertens_me_3_rrmse_3_11_7_13, hg_choles_me_2_rate_3_11_7_13, asthma_me_2_rate_3_11_7_13, diabetes_me_2_rate_3_11_7_13, musculo_me_3_rrmse_3_11_7_13, mntl_bh_f_me_3_rrmse_3_11_7_13, mntl_bh_f_me_2_rate_3_11_7_13, area_name, respirtry_me_2_rate_3_11_7_13, musculo_me_2_rate_3_11_7_13, hypertens_me_2_rate_3_11_7_13, arthritis_me_2_rate_3_11_7_13, circ_me_2_rate_3_11_7_13, arthritis_me_3_rrmse_3_11_7_13, diabetes_me_3_rrmse_3_11_7_13, copd_me_2_rate_3_11_7_13, hg_choles_me_3_rrmse_3_11_7_13, mntl_bh_m_me_3_rrmse_3_11_7_13
3.0,14.2987934206143,3.0,3.0,3.0,3.0,22910,12.7711525625372,3.0,35.0340287615454,11.117193196026,3.46640572578753,3.0,3.0,15.8450505852427,"Hepburn (S)",30.1340377948365,28.5190738805097,9.85935156053247,15.3224064757825,17.4503649467449,3.0,3.0,2.05041766766705,3.0,3.0
1.0,13.78052702964,3.0,3.0,3.0,3.0,22980,11.5000073912656,3.0,36.2888242117968,12.6769822125172,3.63923908822674,3.0,3.0,16.2873269779837,"Hindmarsh (S)",29.9270805524359,30.3998699645093,9.19158246326141,15.9944473112787,17.0769825671407,3.0,1.0,2.04505093260616,3.0,1.0
3.0,11.9373506344486,3.0,3.0,3.0,3.0,23110,9.83066856360031,3.0,32.5198126401697,10.2301644528514,5.65214668885266,3.0,3.0,14.0380861447761,"Hobsons Bay (C)",30.9511001499259,26.0407778275628,9.84568506949061,14.1351164057886,17.1968734212218,3.0,3.0,1.85913865297811,3.0,3.0
3.0,12.72178933752,3.0,3.0,3.0,3.0,23190,11.5708639180746,3.0,33.4199391621768,14.4309646233943,3.66798730443512,3.0,3.0,13.8867456953082,"Horsham (RC)",30.9329775021884,28.1663130315664,9.82249675368478,15.0749668633481,17.5799146389595,3.0,3.0,2.14832951021047,3.0,3.0
3.0,12.3037406736652,3.0,3.0,3.0,3.0,23270,8.99453629468265,3.0,32.0879817901937,10.0862333624151,7.25704608231097,3.0,3.0,15.6229561799326,"Hume (C)",27.0514568524867,27.8495572953819,10.4790236754544,15.1408289763345,16.5877645126343,3.0,3.0,1.89165741650565,3.0,3.0
3.0,12.0678808682937,3.0,3.0,3.0,3.0,23350,11.2253442444041,3.0,34.3790653635578,10.9310940315885,3.55543894675424,3.0,3.0,12.9929393504692,"Indigo (S)",33.7512191162153,27.507268695796,9.79446676274319,14.0871278561666,16.8459520385554,3.0,3.0,1.99298020060313,3.0,3.0
3.0,12.3907815917918,3.0,3.0,3.0,3.0,23430,11.2569947370037,3.0,33.401609176642,10.6325056286736,4.18524997243482,3.0,3.0,13.4862065522225,"Kingston (C)",33.1266410616535,26.453741745423,9.99353404844387,13.324770067568,16.4349645900524,3.0,3.0,1.80258191863811,3.0,3.0
3.0,12.0704018296385,3.0,3.0,3.0,3.0,23670,10.7719609452661,3.0,33.3860264708639,10.6679277319939,4.01547601552657,3.0,3.0,13.3467531885103,"Knox (C)",29.5999649158951,25.8934993454561,10.0342247614255,12.9286558657881,16.4508773576529,3.0,3.0,1.75834661996825,3.0,3.0
3.0,15.2150346594659,3.0,3.0,3.0,3.0,23810,12.3360307784586,3.0,33.3441543280253,13.7401872905543,4.35690275196124,3.0,3.0,18.0692591508438,"Latrobe (C)",30.2099626041114,28.0479863042699,9.94383533035307,16.0113165450219,17.1157731401558,3.0,3.0,2.24012098314415,3.0,3.0
1.0,14.4217487214672,3.0,3.0,3.0,3.0,23940,12.5547510279156,3.0,35.9183148004656,11.7014431095868,3.99831231292616,3.0,3.0,16.6411192473299,"Loddon (S)",30.2701758072444,28.6057330011695,9.66376585183556,17.1354664100627,17.3653081590308,3.0,3.0,2.10688793806474,3.0,3.0
3.0,11.9829747311458,3.0,3.0,3.0,3.0,24130,10.4585676195745,3.0,34.4330924159142,13.0833297750767,3.31881767830827,3.0,3.0,13.475166299494,"Macedon Ranges (S)",30.5040994077213,26.8063215294996,9.97829135153644,13.5041319103151,15.59564178361,3.0,3.0,1.88028752546947,3.0,3.0
3.0,11.3314867049212,3.0,3.0,3.0,3.0,24210,10.2122019093431,3.0,33.2161975186825,9.80929310255753,4.25504822093358,3.0,3.0,12.4050749937342,"Manningham (C)",27.7393116834174,24.2440594767861,9.67673065378722,12.558651588387,16.0237517993599,3.0,3.0,1.56155300752523,3.0,3.0
3.0,12.3856429957268,3.0,3.0,3.0,3.0,22310,11.5646969519184,3.0,32.5424647091823,9.31406974215331,4.04698109985756,3.0,3.0,13.186120559668,"Glen Eira (C)",27.8079674206238,25.8568947941512,10.0727693463354,12.4890129513152,15.9348071023218,3.0,3.0,1.5960039721582,3.0,3.0
1.0,12.5495245545097,3.0,3.0,3.0,3.0,24250,11.8601505909505,3.0,38.5318600978915,12.8148689875917,3.5904252875582,3.0,3.0,13.3715918491525,"Mansfield (S)",30.499165271257,29.0766487325795,10.411734806029,15.0179258151489,18.009528412989,3.0,1.0,2.03710394802641,3.0,3.0
3.0,12.1413207621492,3.0,3.0,3.0,3.0,24330,9.3211863495129,3.0,32.1452559592742,8.87921043707647,6.85494947698413,3.0,3.0,15.089548876166,"Maribyrnong (C)",25.2027521685779,25.1221619826911,9.9192427365449,12.488479074148,18.1832494816188,3.0,3.0,1.79941918663808,3.0,3.0
